compound_id,name,aliases,structural_class,class_key,subfamily,ring_of_the_acid,smiles,inchikey,iupac_name,molecular_formula,mw,stereochemistry,structure_confidence,structure_verified,n_measurements
NAT01,D-Luciferin,1 (Kitada 2020); 1a (Iwano 2013 / Kitada 2018); 3a (Conley 2012); D-LH2; L-LH2; LH2; beetle luciferin; compound 1; dLuc; firefly luciferin,Natural luciferin and its stereoisomers,natural,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,BJGNCJDXODQBOB-SSDOTTSWSA-N,"(4S)-2-(6-hydroxy-1,3-benzothiazol-2-yl)-4,5-dihydro-1,3-thiazole-4-carboxylic acid",C11H8N2O3S2,280.33,,high,confirmed,324
NAT02,L-Luciferin,(4R)-luciferin; L-(+)-luciferin; L-1 (Ioka 2016); L-LH2; L-firefly luciferin; L-firefly luciferin (L-1); synthetic L-luciferin; unnatural enantiomer of firefly luciferin,Natural luciferin and its stereoisomers,natural,benzothiazole,thiazoline (natural),O=C(O)[C@@H]1CSC(c2nc3ccc(O)cc3s2)=N1,BJGNCJDXODQBOB-ZETCQYMHSA-N,"(4R)-2-(6-hydroxy-1,3-benzothiazol-2-yl)-4,5-dihydro-1,3-thiazole-4-carboxylic acid",C11H8N2O3S2,280.33,,high,confirmed,5
AM01,4'-Hydroxyluciferin,"2-(4,6-dihydroxy-2-benzothiazolyl)-delta-2-thiazoline-4-carboxylic acid; 4'-Hydroxyluciferin; 4,6-dihydroxyluciferin; 4-hydroxyluciferin; DL-4,6-dihydroxyluciferin; White & Woerther 1966 compound 5; compound 5","6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)C1CSC(c2nc3c(O)cc(O)cc3s2)=N1,OBNHARMUQMTOGF-UHFFFAOYSA-N,"(4RS)-2-(4,6-dihydroxy-1,3-benzothiazol-2-yl)-4,5-dihydro-1,3-thiazole-4-carboxylic acid (racemic)",C11H8N2O4S2,296.33,racemate,high,confirmed,5
AM02,"6'-(1,1-dioxothiomorpholin-4-yl) luciferin",compound 15a (Sharma 2017); thiomorpholine dioxide luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCS(=O)(=O)CC4)cc3s2)=N1,SZVKBVBLVWGWCD-LLVKDONJSA-N,"(S)-2-(6-(1,1-dioxidothiomorpholino)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C15H15N3O4S3,397.5,,high,confirmed,12
AM03,"6'-(2,2,2-trifluoroethylamino) luciferin",compound 41a (Sharma 2017); trifluoroethylamino luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(NCC(F)(F)F)cc3s2)=N1,BBHXILGOSHRSOU-MRVPVSSYSA-N,"(S)-2-(6-((2,2,2-trifluoroethyl)amino)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C13H10F3N3O2S2,361.37,,high,confirmed,4
AM04,"6'-(2,3-dihydro-1H-indol-1-yl) luciferin",compound 29a (Sharma 2017); indolin-1-yl luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCc5ccccc54)cc3s2)=N1,QBGZCZWKMGFKGX-CQSZACIVSA-N,"(S)-2-(6-(indolin-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C19H15N3O2S2,381.48,,high,confirmed,1
AM05,"6'-(2,6-dimethylanilino) luciferin",compound 20a (Sharma 2017),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),Cc1cccc(C)c1Nc1ccc2nc(C3=N[C@@H](C(=O)O)CS3)sc2c1,JTYZEBYFNKLKQQ-CQSZACIVSA-N,"(S)-2-(6-((2,6-dimethylphenyl)amino)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C19H17N3O2S2,383.5,,high,confirmed,3
AM06,6'-(2-ethylanilino) luciferin,compound 18a (Sharma 2017),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),CCc1ccccc1Nc1ccc2nc(C3=N[C@@H](C(=O)O)CS3)sc2c1,NIUVZCXVUJKJNP-OAHLLOKOSA-N,"(S)-2-(6-((2-ethylphenyl)amino)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C19H17N3O2S2,383.5,,high,confirmed,1
AM07,"6'-(3,3-dimethylureido) luciferin",compound 37a (Sharma 2017); dimethylurea luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),CN(C)C(=O)Nc1ccc2nc(C3=N[C@@H](C(=O)O)CS3)sc2c1,PNENRYURIHHOGV-SECBINFHSA-N,"(S)-2-(6-(3,3-dimethylureido)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C14H14N4O3S2,350.43,,high,confirmed,3
AM08,6'-(4-tert-butoxycarbonylpiperazin-1-yl) luciferin,compound 16a (Sharma 2017); Boc-PIPE (16a); Boc-piperazinyl luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),CC(C)(C)OC(=O)N1CCN(c2ccc3nc(C4=N[C@@H](C(=O)O)CS4)sc3c2)CC1,NCXYLMYZDITJBR-CQSZACIVSA-N,"(S)-2-(6-(4-(tert-butoxycarbonyl)piperazin-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C20H24N4O4S2,448.57,,high,confirmed,4
AM09,6'-(azepan-1-yl) luciferin,azepanyl luciferin; compound 7a (Sharma 2017),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCCCCC4)cc3s2)=N1,GRFYBXURSQOJAN-CYBMUJFWSA-N,"(S)-2-(6-(azepan-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C17H19N3O2S2,361.49,,high,confirmed,9
AM10,6'-(azetidin-1-yl) luciferin,azetidinyl luciferin; compound 4a (Sharma 2017),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCC4)cc3s2)=N1,QEDVWUXDTYTRPX-SNVBAGLBSA-N,"(S)-2-(6-(azetidin-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C14H13N3O2S2,319.41,,high,confirmed,13
AM11,6'-(morpholin-4-yl) luciferin,compound 8a (Sharma 2017); morpholino luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCOCC4)cc3s2)=N1,RCXHJIATEBWBSE-LLVKDONJSA-N,"(S)-2-(6-morpholinobenzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C15H15N3O3S2,349.44,,high,confirmed,9
AM12,6'-(phenylamino) luciferin,compound 17a (Sharma 2017); 6'-anilino luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(Nc4ccccc4)cc3s2)=N1,YUXJDRNZRRNYGM-CYBMUJFWSA-N,"(S)-2-(6-(phenylamino)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C17H13N3O2S2,355.44,,high,confirmed,5
AM13,6'-(piperazin-1-yl) luciferin,compound 16b (Sharma 2017); piperazinyl luciferin,"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCNCC4)cc3s2)=N1,AVVCOAJUFUAPRQ-LLVKDONJSA-N,"Trifluoroacetic acid salt of (S)-2-(6-(piperazin-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C15H16N4O2S2,348.45,,high,confirmed,4
AM14,6'-(piperidin-1-yl) luciferin,compound 6a (Sharma 2017); piperidine luciferin; Piperidine (6a),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCCCC4)cc3s2)=N1,QHEFHACSSYGGNU-GFCCVEGCSA-N,"(S)-2-(6-(piperidin-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C16H17N3O2S2,347.47,,high,confirmed,4
AM15,6'-(prop-2-en-1-ylamino) luciferin,allylamino luciferin; compound 40a (Sharma 2017),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),C=CCNc1ccc2nc(C3=N[C@@H](C(=O)O)CS3)sc2c1,IORLQASZJQEMAT-SNVBAGLBSA-N,"(S)-2-(6-(allylamino)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C14H13N3O2S2,319.41,,high,confirmed,4
AM16,6'-(pyrrolidin-1-yl) luciferin,compound 5a (Sharma 2017); pyrrolidine luciferin; Pyrolidine (5a),"6'-Aminoluciferins, acyclic N-alkyl and pendant amine",amino,benzothiazole,thiazoline (natural),O=C(O)[C@H]1CSC(c2nc3ccc(N4CCCC4)cc3s2)=N1,QBIHTXOSEGSRCH-LLVKDONJSA-N,"(S)-2-(6-(pyrrolidin-1-yl)benzothiazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C15H15N3O2S2,333.44,,high,confirmed,4
