compound_id,compound_name,structural_class,subfamily,property,quantity,unit,value_num,uncertainty,range_low,range_high,value_reported,scale,direction,denominator,setting,emission_band,bimodal,enzyme,enzyme_class,ph_regime,conditions,basis,secondary,provisional,superseded,source_locator,citation_key,doi,url,verification_status
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,330.0,,,,330,,,,,,,,,unstated,"H2O:CH3CN 75:25 (v/v), Cary 50 Bio UV-Vis; used as the spectrophotometric reference for quantifying D-luciferyl-adenylate (D-LH2-AMP).","absorption maximum, epsilon = 16,800 M-1 cm-1",,,,,Mofford2014a,10.1073/pnas.1319300111,https://pmc.ncbi.nlm.nih.gov/articles/PMC3970535/,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,329.0,,,,329,,,,,,,,,acidic,"Absorption spectrum of the free substrate; acidic vs basic form; Table 1 column lambda_abs, obtained from SI Figure S3 (pH titration 3.6-9.6).","absorption maximum, acidic form",,,,Table 1,Takakura2012,10.1002/cbic.201200142,https://doi.org/10.1002/cbic.201200142,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,382.0,,,,382,,,,,,,,,physiological or basic,"Absorption spectrum of the free substrate; acidic vs basic form; Table 1 column lambda_abs, obtained from SI Figure S3 (pH titration 3.6-9.6).","absorption maximum, basic form",,,,Table 1,Takakura2012,10.1002/cbic.201200142,https://doi.org/10.1002/cbic.201200142,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,328.0,,,,328,,,,,,,,,physiological or basic,pKa determination by measuring absorbance changes as a function of pH,absorption maximum of the NEUTRAL (phenol) form of D-luciferin; shifts to 386 nm over pH 7.0-11.0,,,,,Woodroofe2012,10.1021/bi301411d,https://doi.org/10.1021/bi301411d,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,383.0,,,,383,,,,,,,,,pH series or pH independent,"UV-vis absorbance as a function of pH over pH 6.0-11.0 for the pKa determination (Perkin-Elmer Lambda 25); low-pH value = neutral phenol, high-pH value = phenolate; pH 11.0 end of the titration","absorption maximum of the phenolate (anion) form, high-pH limit of the pKa titration",,,,,Woodroofe2012,10.1021/bi301411d,https://doi.org/10.1021/bi301411d,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,336.0,,,,336,,,,,,,,,physiological or basic,"racemic free acid, 50 uM in TEM buffer pH 7.8, Tecan Infinite M200, +/- 5 nm; quantum yields from absorbances < 0.1 AU at 50 uM in 100 uL, eosin Y in basic ethanol as standard (490 nm excitation, QY 0.67)","FLUORESCENCE EXCITATION maximum of D-luciferin (neutral form), Table 1 (internal reference)",,,,Table 1,Anderson2017,10.1039/c6ra19541e,https://pmc.ncbi.nlm.nih.gov/articles/PMC5361108/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,385.0,,,,385,,,,,,,,,physiological or basic,pH 6.3-9.6 in TEM buffer,FLUORESCENCE EXCITATION maximum of the D-luciferin phenolate at pH 9.6 (40 nm red shift); apparent pKa ca. 8.7,,,,,Anderson2017,10.1039/c6ra19541e,https://pmc.ncbi.nlm.nih.gov/articles/PMC5361108/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,395.0,,,,395 (sh),,,,,,,,,physiological or basic,"UV/Vis spectra in 50 mM tricine buffer, pH 7.4 (Perkin Elmer Lambda 365, 1 mL quartz cuvette); Figure S7.","longest-wavelength UV/Vis absorption maximum, epsilon = 3030 M-1 cm-1; the complete set for this substrate is 267 / 7600; 330 / 19300; 395 (sh) / 3030 (lambda_max nm, epsilon M-1 cm-1)",,,,Figure S7,Branchini2022,10.3390/ijms23052451,https://doi.org/10.3390/ijms23052451,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,328.0,,,,328,,,,,,,,,physiological or basic,pKa titration by absorbance vs pH,absorption maximum of the NEUTRAL form of D-luciferin; shifts to 386 nm over pH 7.0-11.0 (pKa 8.5),,,,,Branchini1989,10.1111/j.1751-1097.1989.tb08442.x,https://doi.org/10.1111/j.1751-1097.1989.tb08442.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,326.0,,,,326,,,,,,,,,unstated,10 uM luciferin (solvent not separately stated for the absorption column),UV-vis absorption maximum of the LUCIFERIN,,,,,Yao2020,10.1021/jacs.0c01064,https://pmc.ncbi.nlm.nih.gov/articles/PMC7867379/,new
