citation_key,authors,title,journal,volume,issue,pages,year,doi,url,doi_verified_via_crossref,used_for_a_value
Adams2016,"Adams, S. T., Jr.; Mofford, D. M.; Reddy, G. S. K. K.; Miller, S. C.",Firefly Luciferase Mutants Allow Substrate-Selective Bioluminescence Imaging in the Mouse Brain,Angewandte Chemie International Edition,55,,4943-4946,2016,10.1002/anie.201511350,https://pmc.ncbi.nlm.nih.gov/articles/PMC4972182/,TRUE,TRUE
Anderson2017,"Anderson, J. C.; Grounds, H.; Jathoul, A. P.; Murray, J. A. H.; Pacman, S. J.; Tisi, L.",Convergent synthesis and optical properties of near-infrared emitting bioluminescent infra-luciferins,RSC Advances,7,,3975-3982,2017,10.1039/c6ra19541e,https://pmc.ncbi.nlm.nih.gov/articles/PMC5361108/,TRUE,TRUE
Anderson2019,"Anderson, J. C.; Chang, C.-H.; Jathoul, A. P.; Syed, A. J.",Synthesis and bioluminescence of electronically modified and rotationally restricted colour-shifting infraluciferin analogues,Tetrahedron,75,,347-356,2019,10.1016/j.tet.2018.11.061,https://doi.org/10.1016/j.tet.2018.11.061,TRUE,TRUE
Ando2007,"Ando Y, Niwa K, Yamada N, Irie T, Enomoto T, Kubota H, Ohmiya Y, Akiyama H",Development of a Quantitative Bio/Chemiluminescence Spectrometer Determining Quantum Yields: Re-examination of the Aqueous Luminol Chemiluminescence Standard,Photochemistry and Photobiology,83,5,1205-1210,2007,10.1111/j.1751-1097.2007.00140.x,https://doi.org/10.1111/j.1751-1097.2007.00140.x,TRUE,FALSE
Ando2008,"Ando Y, Niwa K, Yamada N, Enomoto T, Irie T, Kubota H, Ohmiya Y, Akiyama H",Firefly bioluminescence quantum yield and colour change by pH-sensitive green emission,Nature Photonics,2,1,44-47,2008,10.1038/nphoton.2007.251,https://doi.org/10.1038/nphoton.2007.251,TRUE,TRUE
Branchini1989,Bruce R. Branchini; Matthew M. Hayward; Sarah Bamford; Patricia M. Brennan; Evelyn J. Lajiness,Naphthyl- and quinolylluciferin: green and red light emitting firefly luciferin analogues,Photochemistry and Photobiology,49,5,689-695,1989,10.1111/j.1751-1097.1989.tb08442.x,https://doi.org/10.1111/j.1751-1097.1989.tb08442.x,TRUE,TRUE
Branchini2002,Bruce R. Branchini; Martha H. Murtiashaw; Rachelle A. Magyar; Nathan C. Portier; Maria C. Ruggiero; Justin G. Stroh,"Yellow-Green and Red Firefly Bioluminescence from 5,5-Dimethyloxyluciferin",Journal of the American Chemical Society,124,10,2112-2113,2002,10.1021/ja017400m,https://doi.org/10.1021/ja017400m,TRUE,TRUE
Branchini2022,Bruce R. Branchini; Danielle M. Fontaine; Dawn Kohrt; Brian P. Huta; Allison R. Racela; Benjamin R. Fort; Tara L. Southworth; Aldo Roda,Systematic Comparison of Beetle Luciferase-Luciferin Pairs as Sources of Near-Infrared Light for In Vitro and In Vivo Applications,International Journal of Molecular Sciences,23,5,2451 (article number),2022,10.3390/ijms23052451,https://doi.org/10.3390/ijms23052451,TRUE,TRUE
Brennan2021,"Brennan, C. K.; Ornelas, M. Y.; Yao, Z. W.; Prescher, J. A.",Multicomponent Bioluminescence Imaging with Naphthylamino Luciferins,ChemBioChem,22,,2650-2654,2021,10.1002/cbic.202100202,https://pmc.ncbi.nlm.nih.gov/articles/PMC8496354/,TRUE,TRUE
Chang2023,"Chang, C.-H.; Fontaine, D. M.; Gomez, S.; Branchini, B. R.; Anderson, J. C.",Synthesis and Bioluminescence of 'V'-Shaped Firefly Luciferin Analogues Based on A Novel Benzobisthiazole Core,Chemistry - A European Journal,29,,e202302204,2023,10.1002/chem.202302204,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202302204,TRUE,TRUE
Chang2023b,"Chang, C.-H.; Gomez, S.; Fontaine, D. M.; Fikas, P.; Branchini, B. R.; Anderson, J. C.","Bioluminescence, photophysical, computational and molecular docking studies of fully conformationally restricted enamine infraluciferin",Organic & Biomolecular Chemistry,21,,2941-2949,2023,10.1039/d3ob00247k,https://pubs.rsc.org/en/content/articlehtml/2023/ob/d3ob00247k,TRUE,TRUE
Conley2012,"Conley, N. R.; Dragulescu-Andrasi, A.; Rao, J.; Moerner, W. E.",A Selenium Analogue of Firefly D-Luciferin with Red-Shifted Bioluminescence Emission,Angewandte Chemie International Edition,51,,3350-3353,2012,10.1002/anie.201105653,https://pmc.ncbi.nlm.nih.gov/articles/PMC3494413/,TRUE,TRUE
Denburg1969,Jeffrey L. Denburg; Reiko T. Lee; W. D. McElroy,Substrate-binding properties of firefly luciferase,Archives of Biochemistry and Biophysics,134,2,381-394,1969,10.1016/0003-9861(69)90297-5,https://doi.org/10.1016/0003-9861(69)90297-5,TRUE,TRUE
Evans2014,"Evans, M. S.; Chaurette, J. P.; Adams, S. T., Jr.; Reddy, G. R.; Paley, M. A.; Aronin, N.; Prescher, J. A.; Miller, S. C.",A synthetic luciferin improves bioluminescence imaging in live mice,Nature Methods,11,,393-395,2014,10.1038/nmeth.2839,https://pmc.ncbi.nlm.nih.gov/articles/PMC4026177/,TRUE,TRUE
Hall2018,"Hall, M. P.; Woodroofe, C. C.; Wood, M. G.; Que, I.; van't Root, M.; Ridwan, Y.; Shi, C.; Kirkland, T. A.; Encell, L. P.; Wood, K. V.; Lowik, C.; Mezzanotte, L.",Click beetle luciferase mutant and near infrared naphthyl-luciferins for improved bioluminescence imaging,Nature Communications,9,,132,2018,10.1038/s41467-017-02542-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC5760652/,TRUE,TRUE
Harada2026,"Harada M, Nakano T, Ono R, Uchiyama T, Noguchi Y, Saito-Moriya R, Kitada N, Maki SA, Hirano T, Aoyama H, Kobayashi M, Akiyama H, Kanno K, Itabashi H, Hiyama M",Absorption and fluorescence properties and assignments of firefly bioluminescence substrate analog: seMpai,Photochemistry and Photobiology,102,1,237-247,2026,10.1111/php.14121,https://doi.org/10.1111/php.14121,TRUE,TRUE
Harwood2011,"Harwood, K. R.; Mofford, D. M.; Reddy, G. R.; Miller, S. C.",Identification of Mutant Firefly Luciferases that Efficiently Utilize Aminoluciferins,Chemistry & Biology,18,,1649-1657,2011,10.1016/j.chembiol.2011.09.019,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273327/,TRUE,TRUE
Ikeda2020,"Ikeda Y, Nomoto T, Hiruta Y, Nishiyama N, Citterio D",Ring-Fused Firefly Luciferins: Expanded Palette of Near-Infrared Emitting Bioluminescent Substrates,Analytical Chemistry,92,6,4235-4243,2020,10.1021/acs.analchem.9b04562,https://doi.org/10.1021/acs.analchem.9b04562,TRUE,TRUE
Ioka2016,"Ioka S, Saitoh T, Iwano S, Suzuki K, Maki SA, Miyawaki A, Imoto M, Nishiyama S",Synthesis of Firefly Luciferin Analogues and Evaluation of the Luminescent Properties,Chemistry - A European Journal,22,27,9330-9337,2016,10.1002/chem.201600278,https://doi.org/10.1002/chem.201600278,TRUE,TRUE
